ID,Round,Block,BlockName,BlockID,Group,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Comment
66,1,2,«Времена» глагола,16,3,I … English for five years now. , am studying , have been learning , have learnt,,,B,
67,1,2,«Времена» глагола,17,3,Oh no! I … the plane! I’ll have to wait three hours for the next one. , have missed , lost , have lost ,,,A,
68,1,2,«Времена» глагола,18,3,"I … with my sister for the last two weeks, but my own house is ready to move into now. ", am staying , have been stayed , have been staying,,,C,
69,1,2,«Времена» глагола,19,3,"Before last week’s competition, he … three medals. ", had already won , already won , has already won ,,,A,
70,1,2,«Времена» глагола,20,3,Why … to the cinema tonight? There’s a new thriller on. , won’t we go , we don’t go , don’t we go,,,C,
71,1,2,«Времена» глагола,21,3,They … for an hour when she finally arrived. , had already been waiting , were already waiting , have already been waiting,,,A,
72,1,2,«Времена» глагола,22,3,"When they moved next door, we … in the new house for five years. ", have been living , have lived , had been living,,,C,
73,1,2,«Времена» глагола,23,3,I … to America a few weeks ago. , last went , have last been , have gone last ,,,A,
74,1,2,«Времена» глагола,24,3,"… for the bus, a man with a gun ran out of the bank. ", As soon as we waited , When we waited , As we were waiting,,,C,
75,1,2,«Времена» глагола,25,3,I had to take an alternative route to work yesterday. The road I usually use … up. , was digging , was being dug , is dug,,,B,
76,1,3,Неличные формы глагола,1,3,The girl was … from her friend in the exam. , accusing to copy , accused of copying , accused that she copied,,,B,
77,1,3,Неличные формы глагола,2,3,"Please, remember … English dictionaries tomorrow. ", to bring , bringing , bring,,,A,
78,1,3,Неличные формы глагола,3,3,Visitors are expected … between 9.00 and 11.00 daily. , arrive , arriving , to arrive,,,C,
79,1,3,Неличные формы глагола,4,3,Would you please … during the meeting? , no smoking , not smoke , don't smoke,,,B,
80,1,3,Неличные формы глагола,5,3,Can you make your son … more agreeable? , be , to be , being,,,A,
81,1,3,Неличные формы глагола,6,3,Would you mind … where you come from? , telling , telling me , to tell me,,,B,
82,1,3,Неличные формы глагола,7,3,We saw the man … the house. , enter , entered , to enter,,,A,
83,1,3,Неличные формы глагола,8,3,The teacher asked … the next paragraph. , her to read , her that she read , that she reads,,,A,
84,1,3,Неличные формы глагола,9,3,… rainforests has a serious effect on the environment. , To cut out , Knocking out , Cutting down,,,C,
85,1,3,Неличные формы глагола,10,3,The exam was too difficult … . , for him finishing , to him for completing , for him to complete,,,C,
86,1,3,Неличные формы глагола,11,3,"Don’t you remember … the letter? We’ve had a reply, so you must have done it! ", to have posted , posting , that you had posted,,,B,
87,1,3,Неличные формы глагола,12,3,James and his friends are … on a picnic at the weekend. , arranged to go , arranging going , arranging to go ,,,C,
88,1,3,Неличные формы глагола,13,3,The gate is broken. I’ll get a carpenter … it. , to mend , for to mend , mend ,,,A,
89,1,3,Неличные формы глагола,14,3,I remember … me ghost stories when I was young. , her read , she was reading to , her reading ,,,C,
90,1,3,Неличные формы глагола,15,3,"… in politics, you should be prepared to take risks. ", To succeed , For succeeding , Succeeding ,,,A,
91,1,3,Неличные формы глагола,16,3,They decided … Puglia for their holiday. , going to , to go to , they will go in ,,,B,
92,1,3,Неличные формы глагола,17,3,He denied … the money. , stealing , to have stolen , that he has stolen,,,A,
93,1,3,Неличные формы глагола,18,3,"I … the window, but it was jammed. ", was trying opening , tried to open , tried opening,,,B,
94,1,3,Неличные формы глагола,19,3,Who’s that strange-looking person … the window? , who stands at , standing by , is standing at,,,B,
95,1,3,Неличные формы глагола,20,3,"In New York, at the top of a skyscraper it is possible for people to see snow … while people on the ground see rain. ", fall , is falling , falling ,,,C,
96,1,3,Неличные формы глагола,21,3,We are really looking forward … the competition. , entering , to enter , to entering ,,,C,
97,1,3,Неличные формы глагола,22,3,I can’t stand … in long queues! , to wait , that I wait , waiting,,,C,
98,1,3,Неличные формы глагола,23,3,She suggested … him before they went to his house. , to phone , phoning , that they had phoned,,,B,
99,1,3,Неличные формы глагола,24,3,"During the test, their teacher allowed … up words they didn’t know in their dictionaries. ", that they looked , them looking , them to look ,,,C,
100,1,3,Неличные формы глагола,25,3,"I know they’d disagreed. However, it wasn’t very polite … her. ", that he has ignored , of him ignoring , of him to ignore,,,C,
101,1,4,Модальные и неправильные глаголы + «used to»,1,3,"There was a fire in the factory last Friday night, but fortunately the fire officers … put it out. ", could , have managed to , were able to ,,,C,
102,1,4,Модальные и неправильные глаголы + «used to»,2,3,Her grandfather … a policeman in London. , is used to be , used to be , used to being,,,B,
103,1,4,Модальные и неправильные глаголы + «used to»,3,3,"If someone does you a favour, you … a favour in return. ", will do them , should do them , could do for them ,,,B,
104,1,4,Модальные и неправильные глаголы + «used to»,4,3,Why … work last Saturday? , had he to , must he , did he have to,,,C,
105,1,4,Модальные и неправильные глаголы + «used to»,5,3,"When he was young, my brother … trees. ", was used to climb , used to climb , used to climbing,,,B,
106,1,4,Модальные и неправильные глаголы + «used to»,6,3,I wish … to university when I had the chance! , I went , I had gone , would go,,,B,
107,1,4,Модальные и неправильные глаголы + «used to»,7,3,They … at home. The lights are off. , can't be , must be , mustn't be,,,A,
108,1,4,Модальные и неправильные глаголы + «used to»,8,3,He … down and broke his leg. , felt , fell , falls,,,B,
109,1,4,Модальные и неправильные глаголы + «used to»,9,3,The young man … that a sunray was playing on his face. , fell , felt , filled,,,B,
110,1,4,Модальные и неправильные глаголы + «used to»,10,3,I had lost my keys and was glad when I … them. , found , founded , find,,,A,
111,1,4,Модальные и неправильные глаголы + «used to»,11,3,He didn’t admit that he had … to his parents. , lied , laid , lain,,,A,
112,1,4,Модальные и неправильные глаголы + «used to»,12,3,Please don’t … from the sofa and don’t move! , rise , raise , rose,,,A,
113,1,4,Модальные и неправильные глаголы + «used to»,13,3,She … her head and didn’t look up at me. , didn’t rise , didn’t raise , didn’t rose,,,B,
114,1,4,Модальные и неправильные глаголы + «used to»,14,3,Mr. Brown … in bed and didn’t want to get up. , laid , lay , lied,,,B,
115,1,4,Модальные и неправильные глаголы + «used to»,15,3,The waitress … the knives and forks on the table. , layed , laid , lied,,,B,
116,1,4,Модальные и неправильные глаголы + «used to»,16,3,When I entered the room she was … in bed and reading. , laying , lieing , lying,,,C,
117,1,4,Модальные и неправильные глаголы + «used to»,17,3,I was pushing the door with all might – but it … open! , shouldn’t , wouldn’t , hadn’t,,,B,
118,1,4,Модальные и неправильные глаголы + «used to»,18,3,He sees very poorly. He … wear glasses all the time. , has to , ought , can,,,A,
119,1,4,Модальные и неправильные глаголы + «used to»,19,3,"The painting … be a masterpiece, but the colours are wonderful! ", ought not , may not , must not,,,B,
120,1,4,Модальные и неправильные глаголы + «used to»,20,3,You’ve broken my cup. You … it! , needn’t take , didn’t need to take , needn’t have taken,,,C,
121,1,4,Модальные и неправильные глаголы + «used to»,21,3,He crashed into a wall yesterday. He … attention to the road. , must paid no , didn’t need to pay , can’t have been paying,,,C,
122,1,4,Модальные и неправильные глаголы + «used to»,22,3,We … work tomorrow because it’s a national holiday. , mustn’t , don’t have to , needn’t to ,,,B,
123,1,4,Модальные и неправильные глаголы + «used to»,23,3,"The dog swallowed my mobile phone, but the vet… extract it. ", succeeded in , was able to , had been able to ,,,B,
124,1,4,Модальные и неправильные глаголы + «used to»,24,3,It … my uncle you saw yesterday. He died three years ago. , couldn’t be , mustn’t have been , couldn’t have been,,,C,
125,1,4,Модальные и неправильные глаголы + «used to»,25,3,"Ten years from now, the giant panda … any more. ", might not exist , can’t be existing , shouldn’t exist ,,,A,
126,1,5,Именные части речи,1,3,She was … when she got lost in the bazaar in Tunis. , absolutely terrified , absolutely terrifying , very frightening,,,A,
127,1,5,Именные части речи,2,3,… people in my town go to work by car. , Most of , The most of , Most of the,,,C,
128,1,5,Именные части речи,3,3,I don't think my driving is … to pass the test. , enough good , good enough , well enough,,,B,
129,1,5,Именные части речи,4,3,Your salary is the same … . , as her , as hers , like hers,,,B,
130,1,5,Именные части речи,5,3,They are planning a … . , two-hour session , two-hours session , session of two hours ,,,A,
131,1,5,Именные части речи,6,3,He said that this machine required far … repairs than the others. , less , lesser , fewer ,,,C,
132,1,5,Именные части речи,7,3,The … must be intelligent and well-educated people. , editors-in-chief , editor-in-chiefs , editor-in-chief ,,,A,
133,1,5,Именные части речи,8,3,Her favourite flowers were … . , forgets-me-not , forget-me-not , forget-me-nots ,,,C,
134,1,5,Именные части речи,9,3,I've used many new and important … in my report. , datum , data , datas ,,,B,
135,1,5,Именные части речи,10,3,About two … workers took part in the strike. , thousandes , thousands , thousand ,,,C,
136,1,5,Именные части речи,11,3,This … is poorly studied. , phenomenon , phenomenons , phenomena ,,,A,
137,1,5,Именные части речи,12,3,Look ! The gate … open! , is , are , was ,,,A,
138,1,5,Именные части речи,13,3,Billiards … an interesting game. , are , is , were ,,,B,
139,1,5,Именные части речи,14,3,She had a wonderful three-… holiday in July. , week , weekes , weeks,,,A,
140,1,5,Именные части речи,15,3,I like … pictures over there. , that , these , those,,,C,
141,1,5,Именные части речи,16,3,There are many …-doctors in the hospital. , woman , womens , women,,,C,
142,1,5,Именные части речи,17,3,Nick’s mother and my mother are … . , housewives , houseswives , housewifes,,,A,
143,1,5,Именные части речи,18,3,Physics … my best subject at school. , are , is , were,,,B,
144,1,5,Именные части речи,19,3,The news … so exciting that I couldn’t sleep. , was , were , is,,,A,
145,1,5,Именные части речи,20,3,The police … arrested the thief. , have , has , was,,,A,
146,1,5,Именные части речи,21,3,Their meeting was not accidental … . , also , too , either,,,C,
147,1,5,Именные части речи,22,3,They lived in a … house. , nice little old , old nice little , little old nice,,,A,
148,1,5,Именные части речи,23,3,I’m grateful to him for his … . , advices , advises , advice,,,C,
149,1,5,Именные части речи,24,3,There were only … people in the cinema. , little , few , a few,,,C,
150,1,5,Именные части речи,25,3,Which football team has won … championships? , more , the majority , the most,,,A,
151,1,6,Артикли и предлоги,1,3,Susan is going … holiday next Christmas. , on , at a , to a,,,A,
152,1,6,Артикли и предлоги,2,3,"Don’t worry, she will look … the kids. ", at , on , after,,,C,
153,1,6,Артикли и предлоги,3,3,I’m looking … Steve. Have you seen him? , at , for , on,,,B,
154,1,6,Артикли и предлоги,4,3,Look … ! There’s a car coming. , out , for , at,,,A,
155,1,6,Артикли и предлоги,5,3,You should look … the new words in the dictionary. , up , at , on,,,A,
156,1,6,Артикли и предлоги,6,3,He looks … on anyone who doesn’t have a college education. , at , down , up,,,B,
157,1,6,Артикли и предлоги,7,3,The meeting has been put … till next week. , out , away , off,,,C,
158,1,6,Артикли и предлоги,8,3,The firefighters managed to put … the fire. , out , off , away,,,A,
159,1,6,Артикли и предлоги,9,3,"… the end, he agreed with his mother. ", At , In , On,,,B,
160,1,6,Артикли и предлоги,10,3,"Shortly after our arrival … Turkey, she fell ill. ", in , to , at,,,A,
161,1,6,Артикли и предлоги,11,3,Trafalgar Square , a , the , no article,,,C,
162,1,6,Артикли и предлоги,12,3,Tower of London , a , the , no article,,,B,
163,1,6,Артикли и предлоги,13,3,Houses of Parliament , a , the , no article,,,B,
164,1,6,Артикли и предлоги,14,3,Thames , a , the , no article,,,B,
165,1,6,Артикли и предлоги,15,3,Westminster Abbey , a , the , no article,,,C,
166,1,6,Артикли и предлоги,16,3,Victoria Station , a , the , no article,,,C,
167,1,6,Артикли и предлоги,17,3,River Thames , a , the , no article,,,B,
168,1,6,Артикли и предлоги,18,3,Bank of England , a , the , no article,,,B,
169,1,6,Артикли и предлоги,19,3,Buckingham Palace , a , the , no article,,,C,
170,1,6,Артикли и предлоги,20,3,British Museum , a , the , no article,,,B,
171,1,6,Артикли и предлоги,21,3,We should congratulate them … their wedding. , with , on , of,,,B,
172,1,6,Артикли и предлоги,22,3,Going to Spain this year is … question. , in , out of , out of the,,,C,
173,1,6,Артикли и предлоги,23,3,John kept on chatting while she was explaining. … end she lost her temper and told him to leave the room. , At the , In the , By the,,,B,
174,1,6,Артикли и предлоги,24,3,Don’t lean … that wall! The paint is still wet. , along , at , against,,,C,
175,1,6,Артикли и предлоги,25,3,Excuse me but you’re … I can’t get to the cupboard. , in a way , on the way , in the way,,,C,
176,1,7,Структура предложения,1,3,You should take malaria tablets before going to India … you get bitten by a mosquito. , if , by chance , in case,,,C,
177,1,7,Структура предложения,2,3,The exam was too difficult … . , for finishing for him , to him for completing , for him to complete,,,C,
178,1,7,Структура предложения,3,3,"… a lot of money, he wasn't happy. ", Despite having , Even though having , Although that he had,,,A,
179,1,7,Структура предложения,4,3,I don't like pineapple on a pizza. … . , I also don't like , Neither me too , Neither do I,,,C,
180,1,7,Структура предложения,5,3,"Excuse me, can you tell me where … ? ", I can find station , the station is , is the station,,,B,
181,1,7,Структура предложения,6,3,The teacher asked … read the next paragraph. , her to , her that she , that she,,,A,
182,1,7,Структура предложения,7,3,"… he studied hard, he didn't pass the exam. ", However , Even though , Despite,,,B,
183,1,7,Структура предложения,8,3,She usually takes a sandwich to school … she gets hungry. , in case , although , however,,,A,
184,1,7,Структура предложения,9,3,The director dislikes … work early. , if I'm leaving , if I leave , my leaving,,,C,
185,1,7,Структура предложения,10,3,Three days … long enough for a good holiday. , isn't , aren't , weren't,,,A,
186,1,7,Структура предложения,11,3,"We have to prepare the report by tomorrow, … . ", haven’t we? , have we? , don’t we ?,,,C,
187,1,7,Структура предложения,12,3,… failing the exam was not unexpected. , Jim , Jim is , Jim’s,,,C,
188,1,7,Структура предложения,13,3,It wasn’t … for them to go swimming. , enough warm , warm enough , too much warm,,,B,
189,1,7,Структура предложения,14,3,"Julie thought the film was great, but … it was really boring. ", from Dave’s point of view , in Dave’s viewpoint , from Dave’s opinion,,,A,
190,1,7,Структура предложения,15,3,Please could you pass me … into the sauce? , some pepper to sprinkle , any pepper for mincing , pepper for pinching,,,A,
191,1,7,Структура предложения,16,3,"… he arrived at the station, the train had gone. ", As soon as , Once , By the time,,,C,
192,1,7,Структура предложения,17,3,"X: “Have you ever been to Spain?” Y: “… , we were there last week.” ", However , Presently , Actually,,,C,
193,1,7,Структура предложения,18,3,… I really like about the teacher is that she is always so patient. , That , What , What thing,,,B,
194,1,7,Структура предложения,19,3,"I’m jealous! While we … a French test next Wednesday, she … to New Zealand! ", will be having … flies , are having … ’ll be flying , have … flew,,,B,
195,1,7,Структура предложения,20,3,I … we were at school together. , have been knowing her since , have known her from , have known her since,,,C,
196,1,7,Структура предложения,21,3,Oh no! I … with the salary calculations. My boss will kill me! , have done an error , have made a mistake , did a mistake ,,,B,
197,1,7,Структура предложения,22,3,Please phone the plumber; one of the pipes in the kitchen … . , has a loss , is leaking , has a waste,,,B,
198,1,7,Структура предложения,23,3,I don’t have any money: I … on holiday this year. , can’t afford going , can’t afford to go , don’t permit myself to go,,,B,
199,1,7,Структура предложения,24,3,Do you know how much … ? , she weighs , does she weigh , she is being heavy,,,A,
200,1,7,Структура предложения,25,3,X: I didn’t know many people at Paul’s party! Y: … .,Neither did I , Nor I did , So did I,,,A,
201,1,8,Пассив и условное наклонение,1,3,You'll never pass the exam … harder. , if you will study , if you study , unless you study,,,C,
202,1,8,Пассив и условное наклонение,2,3,"I think I … on Saturday, but I'm not sure. ", am getting my hair cut , may get my hair cut , will have cut my hair ,,,B,
203,1,8,Пассив и условное наклонение,3,3,He … when he can afford it. , will have painted his house , is going to have his house painted , would paint his house,,,B,
204,1,8,Пассив и условное наклонение,4,3,"The dog only has one meal, but the puppies … three times a day. ", have to be feed , must be feeding , need feeding,,,C,
205,1,8,Пассив и условное наклонение,5,3,"If I knew her better, I … to come to the cinema with me. ", will ask her , would ask her , should ask to her,,,B,
206,1,8,Пассив и условное наклонение,6,3,Your hair is too long! When … ? , will you cut them , are you going to get it cut , will you get them cut,,,B,
207,1,8,Пассив и условное наклонение,7,3,"Did you like the article? Yes, rarely … anything so well-written. ", I have read , did I read , have I read ,,,C,
208,1,8,Пассив и условное наклонение,8,3,He will have his car … . , to service , serviced , servicing,,,B,
209,1,8,Пассив и условное наклонение,9,3,I had the piano … . , to tune , tuned , tune,,,B,
210,1,8,Пассив и условное наклонение,10,3,I wish I … these fashionable clothes. , would buy , could buy , will buy,,,B,
211,1,8,Пассив и условное наклонение,11,3,"In the Middle Ages, grey eyes … beautiful. ", were thought to be , were considered that they were , have been thought they were ,,,A,
212,1,8,Пассив и условное наклонение,12,3,He … so tired all the time if he slept for eight hours a night. , would be , wouldn’t be , won’t be,,,B,
213,1,8,Пассив и условное наклонение,13,3,"If I could travel in time, I think I … Ancient Egypt. ", would visit , will visit , have visited ,,,A,
214,1,8,Пассив и условное наклонение,14,3,"If I’d studied more at school, I … much more today. ", could have earned , would be earning , would have earned ,,,B,
215,1,8,Пассив и условное наклонение,15,3,I wish I … curly hair like my sister. , had , would have , have ,,,A,
216,1,8,Пассив и условное наклонение,16,3,"If he hadn’t been driving like an idiot, his passenger … today. ", wouldn’t have been alive , would have been alive , would be alive,,,B,
217,1,8,Пассив и условное наклонение,17,3,X: What … if you … twenty thousand euros? Y: I think I’d use it to finance my studies. I’d like to go to university full time. , will you do …. won , would you do … had won , would you do …. won ,,,C,
218,1,8,Пассив и условное наклонение,18,3,"If he … for an exam, he’d go away for the weekend. ", weren’t studying , doesn’t study , hadn’t studied,,,A,
219,1,8,Пассив и условное наклонение,19,3,"She wishes she … more fashionable clothes, but she can’t afford them. ", has , has had , had,,,C,
220,1,8,Пассив и условное наклонение,20,3,"So all’s well that ends well! However, what … if the problem … ? ", did you do … wouldn’t solve , are you doing … hasn’t been solved , would you have done … hadn’t been solved,,,C,
221,1,8,Пассив и условное наклонение,21,3,This car is filthy! It … . , wants to wash , needs washing , requires a wash up,,,B,
222,1,8,Пассив и условное наклонение,22,3,I wish I … more time for my hobbies. , have , had , have had ,,,B,
223,1,8,Пассив и условное наклонение,23,3,What … if you … the competition? , do you do … are winning , would you have done … won , would you do … won,,,C,
224,1,8,Пассив и условное наклонение,24,3,If the teacher … more slowly I would understand her. , is speaking , has spoken , spoke ,,,C,
225,1,8,Пассив и условное наклонение,25,3,"If she had not been so angry, she … a little more diplomatically. ", would speak , would have spoken , spoke,,,B,
226,1,9,Лексика (вставить слово),1,3,The … is to be repaid over the next five years. , capital , loan , interest ,,,B,
227,1,9,Лексика (вставить слово),2,3,When I went to … I only saw my parents during the holidays. , day school , boarding school , state school ,,,B,
228,1,9,Лексика (вставить слово),3,3,"They consulted the student and the professor, the … being more useful. ", last , latest , latter,,,C,
229,1,9,Лексика (вставить слово),4,3,Did you know that Peter had arranged the party … for you? , specially , especially , particularly ,,,A,
230,1,9,Лексика (вставить слово),5,3,"My flat is just near my office, which is … for me. ", comfortable , cosy , convenient ,,,C,
231,1,9,Лексика (вставить слово),6,3,If you want to play the piano well you must … a lot. , practice , practise , train ,,,B,
232,1,9,Лексика (вставить слово),7,3,I saw a very good … advertised in the paper. , office , work , job ,,,C,
233,1,9,Лексика (вставить слово),8,3,There is a lot of talk nowadays about … rights. , human , humane , humanitarian,,,A,
234,1,9,Лексика (вставить слово),9,3,Many people nowadays are changing from large cars to small ones because they are far more … . , economic , economical , economy ,,,B,
235,1,9,Лексика (вставить слово),10,3,"I do wish you'd grow up, John! You're so … at times. ", childhood , childlike , childish ,,,C,
236,1,9,Лексика (вставить слово),11,3,It's much too hot. Let's go and sit in the … . , shadow , shade , shelter,,,B,
237,1,9,Лексика (вставить слово),12,3,Heavy snow … the train for several hours. , postponed , prevented , delayed ,,,C,
238,1,9,Лексика (вставить слово),13,3,Children under four travel half-… . , fair , spare , fare ,,,C,
239,1,9,Лексика (вставить слово),14,3,The ship set … for Jamaica . , sale , sail , sailed ,,,B,
240,1,9,Лексика (вставить слово),15,3,She wore her hair in a … . , plate , plaque , plait ,,,C,
241,1,9,Лексика (вставить слово),16,3,You'd be … stiff in a job like that. , board , bored , bore,,,B,
242,1,9,Лексика (вставить слово),17,3,The heat … us all leave early. , caused , made , forced ,,,B,
